Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C40",C_1206,2,10uF,C13585
"C10, C23, C29",C_0603,3,10nF,C57112
"C13, C16, C20, C22, C24, C26, C27, C28, C3, C30, C35, C37, C41, C42, C5, C6, C7, C9",C_0603,18,100nF,C14663
"C15, C19, C33, C4, C43",C_0603,5,10uF,C96446
"C17, C18",C_0603,2,18pF,C1647
C2,C_0603,1,1uF,C15849
C21,C_1206,1,1nF,C9196
C25,C_0603,1,4.7uF,C19666
"C31, C32",C_0603,2,6.8nF,C1631
C34,C_0603,1,22nF,C21122
"C36, C39",C_1206,2,100uF,C15008
C38,C_0603,1,150pF,C1594
C45,C_0805,1,10uF,C440198
C8,C_0603,1,1nF,C1588
"D10, D11, D7",D_SMA,3,SMAJ28CA,C19077546
D12,D_0805,1,White,C34499
"D14, D5, D8",D_SMA,3,SS210,C14996
D2,SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,1,PSM712-LF-T7,C32677
D4,D_0805,1,TX,C84256
D6,D_0805,1,RX,C2297
D9,D_SMA,1,SS14,C2480
J1,HDR-TH_2P-P2.54-V-M,1,PZ254V-11-02P,PZ254V-11-02P
J2,TYPE-C-SMD_HX-TYPE-C-16PIN,1,"Connector, USB-TYPE-C-16P",C2927039
J3,IDC-TH_6P-P2.54-V-R2-C3-S2.54,1,ESPPROG,C492441
J4,RJ45-TH_HR911105A,1,RJ45_Hanrun_HR911105A_Horizontal,C12074
L2,L0603,1,BLM18PG121SN1D_C14709,C14709
Q2,Q_SOT-23,1,AO3400A,C20917
"R1, R11, R5",R_0603,3,100Ω,C22775
"R10, R12, R15, R16, R17, R20, R21, R28, R29, R30, R39, R40, R41, R9",R_0603,14,10kΩ,C25804
R13,R_0603,1,5.6kΩ,C23189
R14,R_0603,1,300Ω,C23025
"R18, R19",R_0603,2,5.1kΩ,C23186
"R2, R31",R_0603,2,1MΩ,C22935
R22,R_0603,1,220Ω,C22962
"R23, R24, R25, R26, R27, R33, R34, R35, R36",R_0603,9,33Ω,C23140
"R3, R7",R_0603,2,100kΩ,C25803
R32,R_0603,1,0Ω,C21189
"R38, R42, R43, R44",R_0603,4,49.9Ω,C23185
R4,R_0603,1,2MΩ,C22976
R45,R_0603,1,10Ω,C22859
"R46, R47, R6, R8",R_0603,4,330Ω,C23138
R48,R_0603,1,12kΩ,C22790
R49,R_0603,1,200Ω,C8218
R51,R_0603,1,470Ω,C23179
R52,R_0603,1,75Ω,C4275
"R53, R54",R_0603,2,2Ω,C22977
RJ1,RJ45-TH_5301-6P6C,1,5301-6P6C,C3097716
"S1, S2, S3",SW_TS-1088-AR02016,3,"Tactile Button, 160gf",C720477
U1,ESOP-8_L4.9-W3.9-P1.27-LS6.0-TL-EP,1,TPS5430DDAR,C9864
U10,SOT-223_L6.5-W3.5-P2.30-LS7.0-BR,1,AMS1117-5.0,C6187
U11,SOT-223_L6.5-W3.5-P2.30-LS7.0-BR,1,AMS1117-3.3,C6186
U2,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,1,SN74HC132DR,C350560
U3,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL_ISO6721RBDR,1,ISO6721RBDR,C5216401
U4,DC-IN-TH_G-SWITCH_DC-005H-D020,1,DC-005H-D020,C5155559
U5,IND-SMD_L7.1-W6.6,1,15uH,C5349699
U6,SENSOR-SMD-6_AHT20,1,AHT20-F,C3012622
U8,WIFIM-SMD_61P-L13.2-W12.5-P0.80,1,ESP32-C6-MINI-1U-H4,C20627095
U9,LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL,1,W5500,C32843
Y1,OSC-SMD_4P-L3.2-W2.5-BL,1,25MHz,C9006
