Designator,Mid X,Mid Y,Rotation,Layer
C1,63.0,-41.5,270.0,top
C10,152.9,-32.6,90.0,top
C13,122.0,-61.0,180.0,top
C15,92.5,-38.75,0.0,top
C16,92.5,-37.25,180.0,top
C17,129.12,-49.830001,180.0,top
C18,126.12,-52.330001,90.0,top
C19,132.62,-50.150001,180.0,top
C2,92.6,-47.2,270.0,top
C20,132.62,-51.650001,180.0,top
C21,159.37,-52.650001,0.0,top
C22,137.12,-48.650001,90.0,top
C23,135.62,-48.650001,90.0,top
C24,145.37,-56.650001,0.0,top
C25,134.12,-47.870001,90.0,top
C26,144.62,-51.650001,0.0,top
C27,138.62,-48.650001,90.0,top
C28,140.12,-48.650001,90.0,top
C29,155.37,-57.650001,0.0,top
C3,75.0,-40.8,90.0,top
C30,149.4,-52.3,90.0,top
C31,151.62,-54.650001,0.0,top
C32,151.62,-56.150001,0.0,top
C33,144.62,-50.150001,0.0,top
C34,157.87,-59.650001,90.0,top
C35,65.6,-41.0,270.0,top
C36,149.7,-43.2,0.0,top
C37,153.6,-41.0,0.0,top
C38,152.9,-43.4,270.0,top
C39,126.6,-35.7,90.0,top
C4,76.6,-40.78,90.0,top
C40,139.7,-38.9,180.0,top
C41,139.705,-40.8,180.0,top
C42,135.42,-34.3,0.0,top
C43,135.42,-32.8,0.0,top
C45,163.8,-36.04,270.0,top
C5,77.5,-46.5,180.0,top
C6,85.5,-46.5,0.0,top
C7,66.5,-44.5,180.0,top
C8,150.525,-41.025,0.0,top
C9,161.7,-36.04,270.0,top
D10,47.4,-54.9,0.0,top
D11,54.6,-44.7,270.0,top
D12,95.5,-48.0,0.0,top
D14,165.2,-41.8,0.0,top
D2,100.5,-56.1,270.0,top
D4,66.5,-58.0,180.0,top
D5,59.0,-42.6,270.0,top
D6,66.5,-55.5,180.0,top
D7,172.8,-41.7,180.0,top
D8,159.0,-31.54,180.0,top
D9,132.0,-36.9,0.0,top
J1,128.5,-41.0,0.0,top
J2,101.0,-62.175,0.0,top
J3,116.21,-40.77,0.0,top
J4,170.81,-57.970001,90.0,top
L2,142.12,-50.150001,90.0,top
Q2,54.655,-57.1,0.0,top
R1,54.5,-54.0,0.0,top
R10,88.25,-47.25,270.0,top
R11,93.8,-58.82,270.0,top
R12,150.5,-39.4,0.0,top
R13,156.4,-39.4,0.0,top
R14,153.5,-39.4,0.0,top
R15,107.0,-50.5,180.0,top
R16,107.0,-52.0,180.0,top
R17,93.5,-41.0,270.0,top
R18,98.0,-56.0,90.0,top
R19,103.5,-55.0,90.0,top
R2,58.0,-51.5,0.0,top
R20,114.25,-35.0,0.0,top
R21,104.0,-47.0,90.0,top
R22,97.0,-46.25,0.0,top
R23,113.5,-53.5,0.0,top
R24,113.5,-49.0,0.0,top
R25,113.5,-51.25,0.0,top
R26,113.5,-46.75,0.0,top
R27,113.5,-55.75,0.0,top
R28,109.0,-54.75,0.0,top
R29,109.0,-57.75,0.0,top
R3,57.5,-57.0,90.0,top
R30,109.0,-56.25,0.0,top
R31,129.12,-55.830001,270.0,top
R32,127.62,-55.830001,90.0,top
R33,148.62,-62.900001,0.0,top
R34,148.62,-61.400001,0.0,top
R35,148.62,-56.150001,0.0,top
R36,148.62,-54.650001,0.0,top
R38,151.62,-57.650001,0.0,top
R39,139.62,-62.650001,270.0,top
R4,61.8,-45.5,90.0,top
R40,138.12,-62.650001,270.0,top
R41,136.62,-62.650001,270.0,top
R42,151.55,-60.650001,180.0,top
R43,151.62,-53.150001,0.0,top
R44,151.55,-63.650001,180.0,top
R45,155.37,-60.400001,0.0,top
R46,143.12,-61.650001,180.0,top
R47,143.12,-63.150001,180.0,top
R48,144.5,-53.0,0.0,top
R49,147.3,-53.0,0.0,top
R5,60.0,-58.0,0.0,top
R51,156.6,-41.0,0.0,top
R52,158.7,-41.7,270.0,top
R53,156.52,-42.5,180.0,top
R54,154.3,-43.3,270.0,top
R6,63.0,-58.0,0.0,top
R7,71.5,-45.5,270.0,top
R8,63.0,-55.5,0.0,top
R9,89.75,-47.25,270.0,top
RJ1,49.5925,-45.8575,0.0,top
S1,89.925,-65.2,180.0,top
S2,89.8,-59.4,180.0,top
S3,89.8,-53.6,0.0,top
U1,157.3,-36.04,0.0,top
U10,70.475,-39.1075,90,top
U11,140.4,-33.2,270.0,top
U2,66.62,-49.69,270.0,top
U3,81.5,-49.505,270.0,top
U4,173.12,-33.15,180.0,top
U5,148.6,-32.8,270.0,top
U6,121.75,-67.5,180.0,top
U8,101.1,-39.65,0.0,top
U9,137.37,-55.900001,90.0,top
Y1,129.0,-52.430001,180.0,top
